Veronica Christian James Female ,6721261399,35126,162,593,439,761,945,660,704,871,390,602
Michael Blake Yuan Male ,5387428773,50554,796,449,222,299,764,292,2219,546,788,732
Tina Carney Jay Female ,3678219290,65643,517,118,337,690,4292,767,853,812,640,442
Breanna Taylor Swift Female ,6787758831,45065,662,563,1246,960,199,662,235,464,358,241
Robert Sparks Mark Male ,5935498912,2372,182,729,740,4305,648,650,328,623,439,226
Kenneth Lowe Elon Male ,7113132177,58928,273,6201,553,502,309,793,576,899,713,788
Carlos Sullivan Robert Male ,9926834790,35691,315,322,287,9136,945,554,764,618,157,989
Samuel Vasquez Junior Male ,9093504005,64114,976,764,1918,255,203,114,334,454,855,734
Carrie Williams Daniel Male ,3588027428,68671,5111,972,952,179,937,147,981,767,336,566
Leslie Waters Moses Male ,8614260591,99525,4411,603,961,139,415,616,491,244,814,175
